date,generated_at,total_asset_krw,investment_base_krw,excluded_from_investment_base_krw,holding_count,nonzero_holding_count
2026-06-17,2026-06-17T11:29:28+09:00,211766531,184566531,27200000,33,33
2026-06-18,2026-06-18T10:57:17+09:00,211626886,184426886,27200000,33,33
2026-06-19,2026-06-19T13:37:13+09:00,211995910,184795910,27200000,33,33
2026-06-22,2026-06-22T09:33:30+09:00,211235759,184035759,27200000,33,33
2026-06-23,2026-06-23T09:32:58+09:00,211774160,184574160,27200000,33,33
2026-06-25,2026-06-25T09:32:58+09:00,211352084,184152084,27200000,33,33
2026-06-26,2026-06-26T09:32:14+09:00,210909044,183709044,27200000,33,33
2026-06-29,2026-06-29T09:31:45+09:00,210284124,183084124,27200000,33,33
2026-06-30,2026-06-30T09:31:52+09:00,211668548,184468548,27200000,33,33
2026-07-01,2026-07-01T09:33:13+09:00,213096841,185896841,27200000,33,33
2026-07-02,2026-07-02T11:06:52+09:00,213227720,186027720,27200000,33,33
2026-07-03,2026-07-03T09:34:04+09:00,213260021,186060021,27200000,33,33
2026-07-06,2026-07-06T10:57:56+09:00,213868662,186668662,27200000,33,33
2026-07-07,2026-07-07T09:32:34+09:00,213684037,186484037,27200000,33,33
2026-07-08,2026-07-08T09:32:20+09:00,211857825,184657825,27200000,33,33
2026-07-09,2026-07-09T09:33:36+09:00,210057348,182857348,27200000,33,33
2026-07-10,2026-07-10T09:32:41+09:00,211715804,184515804,27200000,33,33
2026-07-13,2026-07-13T09:33:31+09:00,211292120,184092120,27200000,33,33
2026-07-14,2026-07-14T14:32:45+09:00,209260253,182060253,27200000,34,34
2026-07-15,2026-07-15T10:05:06+09:00,209815201,182615201,27200000,34,34
2026-07-16,2026-07-16T10:30:10+09:00,209924401,182724401,27200000,34,34
2026-07-20,2026-07-20T09:41:29+09:00,208459398,181259398,27200000,34,34
2026-07-21,2026-07-21T14:43:24+09:00,208387215,181187215,27200000,35,35
2026-07-23,2026-07-23T09:27:46+09:00,209384099,182184099,27200000,35,35
2026-07-27,2026-07-27T16:32:07+09:00,211952976,198752976,13200000,36,36
2026-07-28,2026-07-28T15:25:51+09:00,210246622,197046622,13200000,36,36
2026-07-29,2026-07-29T13:22:12+09:00,207445636,194245636,13200000,36,35
2026-07-30,2026-07-30T10:02:36+09:00,205545697,192345697,13200000,36,36
2026-07-31,2026-07-31T14:44:47+09:00,207664052,194464052,13200000,37,37
2026-08-03,2026-08-03T10:50:38+09:00,207612079,194412079,13200000,37,37
2026-08-04,2026-08-04T09:49:18+09:00,208299278,195099278,13200000,37,37
2026-08-05,2026-08-05T09:31:52+09:00,210532384,197332384,13200000,37,37
2026-08-06,2026-08-06T11:29:33+09:00,210158595,196958595,13200000,37,37
2026-08-11,2026-08-11T16:33:36+09:00,210689281,197489281,13200000,37,37
2026-08-12,2026-08-12T11:11:37+09:00,210782998,197582998,13200000,37,37
2026-08-18,2026-08-18T10:32:43+09:00,211048807,197848807,13200000,37,37
2026-08-19,2026-08-19T09:56:07+09:00,208835499,195635499,13200000,37,37
2026-08-20,2026-08-20T09:26:25+09:00,208751908,195551908,13200000,37,37
2026-08-21,2026-08-21T15:57:35+09:00,208734269,195534269,13200000,37,37
2026-08-24,2026-08-24T09:29:09+09:00,208821597,195621597,13200000,37,37
2026-08-25,2026-08-25T09:49:06+09:00,208197480,194997480,13200000,37,37
2026-08-27,2026-08-27T10:51:18+09:00,208839973,195639973,13200000,37,37
