section,key1,key2,amount_krw_total,amount_krw_investment_base,pct_total_assets,pct_investment_base
totals,total_asset_krw,,209955515.0,,1,
totals,investment_base_krw,,195755515.0,195755515.0,,1
totals,excluded_from_investment_base_krw,,14200000.0,0,,0
by_asset_class1,지수,,76593924.0,76593924.0,0.36481025,0.39127339
by_asset_class1,단기채권,,45907883.0,45907883.0,0.21865529,0.23451642
by_asset_class1,개별주식,,27153668.0,27153668.0,0.12933058,0.13871215
by_asset_class1,장기채권,,21946265.0,21946265.0,0.10452817,0.11211058
by_asset_class1,헷지,,18362516.0,18362516.0,0.08745908,0.09380331
by_asset_class1,예금,,14200000.0,0.0,0.06763337,0.0
by_asset_class1,현금,,5791259.0,5791259.0,0.02758327,0.02958414
by_asset_class1_2,지수,S&P500,62611420.0,62611420.0,0.29821279,0.31984499
by_asset_class1_2,단기채권,초단기,45907883.0,45907883.0,0.21865529,0.23451642
by_asset_class1_2,장기채권,장기채,21946265.0,21946265.0,0.10452817,0.11211058
by_asset_class1_2,헷지,금,18362516.0,18362516.0,0.08745908,0.09380331
by_asset_class1_2,예금,장기예금,14200000.0,0.0,0.06763337,0.0
by_asset_class1_2,지수,S&P500동일가중,13982504.0,13982504.0,0.06659746,0.0714284
by_asset_class1_2,개별주식,반도체,12590557.0,12590557.0,0.05996774,0.06431776
by_asset_class1_2,개별주식,IT,6219300.0,6219300.0,0.02962199,0.03177075
by_asset_class1_2,현금,원화,5226989.0,5226989.0,0.0248957,0.02670162
by_asset_class1_2,개별주식,반도체설계,5206040.0,5206040.0,0.02479592,0.0265946
by_asset_class1_2,개별주식,헬스케어,3137771.0,3137771.0,0.01494493,0.01602903
by_asset_class1_2,현금,달러,429148.0,429148.0,0.00204399,0.00219227
by_asset_class1_2,현금,엔화,135122.0,135122.0,0.00064357,0.00069026
by_investment_currency,달러,,103034959.0,103034959.0,0.49074662,0.52634511
by_investment_currency,원화,,99894774.0,85694774.0,0.47579019,0.43776429
by_investment_currency,엔화,,7025782.0,7025782.0,0.03346319,0.0358906
by_listing_currency,KRW,,124957309.0,110757309.0,0.59516088,0.56579407
by_listing_currency,USD,,75815383.0,75815383.0,0.36110213,0.38729628
by_listing_currency,JPY,,9182823.0,9182823.0,0.04373699,0.04690965
by_hedge_flag,미분류,,169900735.0,155700735.0,0.80922254,0.79538364
by_hedge_flag,O,,40054780.0,40054780.0,0.19077746,0.20461636
by_owner,동연,,159708850.0,158708850.0,0.76067947,0.81075034
by_owner,완서,,50246665.0,37046665.0,0.23932053,0.18924966
